철도운영기관명,선명,역명,지상구분,역층,면적
코레일,경의중앙,효창공원앞,지하,1,
코레일,경의중앙,효창공원앞,지하,2,
코레일,경의중앙,행신,지상,1,
코레일,경의중앙,행신,지상,2,
코레일,경의중앙,수색,지상,1,
코레일,경의중앙,수색,지상,3,
코레일,경의중앙,원덕(추읍산),지상,2,
코레일,경의중앙,용문,지상,1,
코레일,경의중앙,용문,지상,2,
코레일,경의중앙,청량리,지하,1,
코레일,경의중앙,청량리,지하,2,
코레일,경의중앙,청량리,지상,1,
코레일,경의중앙,청량리,지상,2,
코레일,경의중앙,청량리,지상,3,
코레일,경의중앙,임진강,지상,1,
코레일,경의중앙,도라산,지상,1,
코레일,경의중앙,가좌,지상,1,
코레일,경의중앙,가좌,지하,1,
코레일,경의중앙,가좌,지하,4,
코레일,경의중앙,강매,지하,1,
코레일,경의중앙,강매,지상,1,
코레일,경의중앙,곡산,지상,1,
코레일,경의중앙,곡산,지상,2,
코레일,경의중앙,공덕,지하,1,
코레일,경의중앙,공덕,지하,2,
코레일,경의중앙,구리,지상,2,
코레일,경의중앙,구리,지상,3,
코레일,경의중앙,국수,지상,1,5000
코레일,경의중앙,금릉,지상,1,
코레일,경의중앙,금릉,지상,2,
코레일,경의중앙,금촌,지상,1,
코레일,경의중앙,금촌,지상,2,
코레일,경의중앙,능곡,지상,1,
코레일,경의중앙,능곡,지상,2,
코레일,경의중앙,대곡,지상,2,
코레일,경의중앙,대곡,지상,2,
코레일,경의중앙,덕소,지상,1,
코레일,경의중앙,덕소,지상,2,
코레일,경의중앙,도농,지상,1,
코레일,경의중앙,도농,지상,2,
코레일,경의중앙,도심,지상,1,
코레일,경의중앙,도심,지상,2,
코레일,경의중앙,디지털미디어시티,지상,1,
코레일,경의중앙,디지털미디어시티,지상,2,
코레일,경의중앙,망우,지상,1,
코레일,경의중앙,망우,지상,2,
코레일,경의중앙,백마,지상,1,
코레일,경의중앙,백마,지상,2,
코레일,경의중앙,서강대,지하,1,3553.6
코레일,경의중앙,서강대,지하,2,2545.36
코레일,경의중앙,서빙고,지상,1,
코레일,경의중앙,신원,지상,1,
코레일,경의중앙,신원,지상,2,
코레일,경의중앙,아신(아세아연합신학대),지상,1,
코레일,경의중앙,아신(아세아연합신학대),지상,2,
코레일,경의중앙,야당,지상,1,
코레일,경의중앙,야당,지상,2,
코레일,경의중앙,양수,지상,1,
코레일,경의중앙,양수,지상,2,
코레일,경의중앙,양원(서울시북부병원),지상,1,
코레일,경의중앙,양원(서울시북부병원),지상,2,
코레일,경의중앙,양정,지상,1,
코레일,경의중앙,양정,지상,2,
코레일,경의중앙,오빈,지상,1,
코레일,경의중앙,오빈,지상,2,
코레일,경의중앙,옥수,지상,1,
코레일,경의중앙,옥수,지상,3,
코레일,경의중앙,왕십리,지하,1,
코레일,경의중앙,왕십리,지상,1,
코레일,경의중앙,운길산,지상,1,
코레일,경의중앙,운길산,지상,2,
코레일,경의중앙,운정,지상,1,
코레일,경의중앙,운정,지상,2,
코레일,경의중앙,원덕(추읍산),지상,1,
코레일,경의중앙,원덕(추읍산),지상,1,
코레일,경의중앙,월롱(서영대학교),지상,1,
코레일,경의중앙,월롱(서영대학교),지상,2,
코레일,경의중앙,응봉,지상,2,
코레일,경의중앙,응봉,지상,3,
코레일,경의중앙,이촌,지하,1,
코레일,경강,경기광주,지상,1,
코레일,경강,경기광주,지상,2,
코레일,경강,곤지암,지상,1,
코레일,경강,부발,지상,1,
코레일,경강,부발,지상,2,
코레일,경강,삼동,지상,1,
코레일,경강,삼동,지상,2,
코레일,경강,세종대왕릉,지상,1,
코레일,경강,세종대왕릉,지상,2,
코레일,경강,신둔도예촌,지상,1,
코레일,경강,신둔도예촌,지상,2,
코레일,경강,이천,지상,1,
코레일,경강,이천,지상,2,
코레일,경강,판교(판교테크노밸리),지하,2,
코레일,경강,판교(판교테크노밸리),지하,3,
코레일,경강,판교(판교테크노밸리),지하,4,
